Org,Technologies,Slots,Ideas Page,Contact,2018
Elastic," java, golang, node.js, react, jruby",2,https://github.com/elastic/gsoc#ideas,https://discuss.elastic.co/c/elastic-community/elastic-gsoc,2018
Eta,"haskell, jvm,  java",2,https://eta-lang.org/contribute/gsoc/2018,https://gitter.im/typelead/eta,2018
Fedora Project,"linux, python, git, postgresql, ansible",5,https://docs.fedoraproject.org/mentored-projects/gsoc/2018/ideas.html,https://webchat.freenode.net/?channels=#fedora-summer-coding,2018
FFmpeg,"c, asm, git",5,https://trac.ffmpeg.org/wiki/SponsoringPrograms/GSoC/2018,http://ffmpeg.org/contact.html#IRCChannels,2018
FOSSASIA,"java, javascript, python, android, artificial intelligence",32,https://labs.fossasia.org/ideas,https://gitter.im/fossasia/fossasia,2018
FOSSology,"php, postgresql, lamp, linux, c/c++",1,https://wiki.fossology.org/gsoc-2018,http://fossology.slack.com,2018
Free and Open Source Silicon Foundation,"fpga, verilog, c, chisel, synthesis",6,https://fossi-foundation.org/gsoc18-ideas,https://gitter.im/librecores/Lobby,2018
Free UK Genealogy,"mongodb, ruby on rails, mysql, python,  css/html",2,https://www.freeukgenealogy.org.uk/about/volunteer/tech-volunteering-opportunities/ideas-list/,https://www.freeukgenealogy.org.uk/about/volunteer/tech-volunteering-opportunities/ideas-list/,2018
FreeBSD,"c/c++, llvm,  shell script, assembly, make",8,https://wiki.freebsd.org/SummerOfCodeIdeas,https://wiki.freebsd.org/SummerOfCodeIRC,2018
FreeType,"c, gnu make, gnu autotools, python, fonts",3,https://www.freetype.org/gsoc.html,https://lists.nongnu.org/mailman/listinfo/freetype-devel,2018
freifunk,"openwrt, javascript, html, c,  python",12,https://projects.freifunk.net,http://irc.freifunk.net,2018
"Genes, Genomes and Variation","perl, mysql, java script",2,http://www.ensembl.info/student-projects/,http://lists.ensembl.org/mailman/listinfo/dev,2018
GENIVI Alliance,"yocto, c/c++, java",1,https://at.projects.genivi.org/wiki/display/GDP/Google+Summer+of+Code+Instructions+and+ideas,https://lists.genivi.org/mailman/listinfo/genivi-projects,2018
Gentoo Foundation," shell script, bash, c/c++,  python, linux",2,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2018/Ideas,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2018/Application_Guidelines,2018
GFOSS - Open Technologies Alliance,"python 3, php/javascript/html,  css/html, java, c/c++",10,https://ellak.gr/wiki/index.php?title=GSOC2018_Projects,http://opensource-devs@ellak.gr,2018
Git,"c,  shell script,  git",3,https://git.github.io/SoC-2018-Ideas/,http://git-scm.com/community,2018
Global Alliance for Genomics and Health,"java, python, cloud, c/c++, mongodb",4,https://docs.google.com/document/d/1fzIMN3F96Qv--Bq9sGbApaVyS2dmUoGMrLP9O-ihKFE/view?usp=sharing,mailto:gsoc@genomicsandhealth.org,2018
GNOME,"c, python,  javascript, gtk+, gobject",13,https://wiki.gnome.org/Outreach/SummerOfCode/2018/Ideas,https://wiki.gnome.org/Community/GettingInTouch,2018
GNSS-SDR,"c/c++, gnss, c++11, c++14",5,http://gnss-sdr.org/google-summer-code-2018-ideas-list/,http://lists.sourceforge.net/lists/listinfo/gnss-sdr-developers,2018
GNU Compiler Collection (GCC),"c++, c, openmp",1,https://gcc.gnu.org/wiki/SummerOfCode,https://gcc.gnu.org/wiki,2018
GNU Octave,"c++, hg",3,http://wiki.octave.org/Summer_of_Code_Project_Ideas,https://webchat.freenode.net/?channels=#octave,2018
GNU Project,"c, lisp, python",9,https://www.gnu.org/software/soc-projects/ideas-2018.html,https://lists.gnu.org/mailman/listinfo/summer-of-code,2018
GNU Radio,"c++, python, simd, qt",2,https://wiki.gnuradio.org/index.php/GSoCIdeas,https://wiki.gnuradio.org/index.php/IRC,2018
Godot Engine,"c++, cpp, opengl, github, crossplatform",5,https://github.com/godotengine/roadmap/blob/master/GSOC-2018.md,https://godotengine.org/community,2018
gRPC,"grpc, microservices, distributed systems, cloud",1,https://github.com/grpc/grpc/blob/master/summerofcode/ideas.md,https://grpc.io/community/,2018
Haiku,"c++, webkit, ffmpeg, posix, bsd unix",2,https://www.haiku-os.org/community/gsoc/2018/ideas,https://www.haiku-os.org/community/irc,2018
Haskell.org,haskell,15,https://summer.haskell.org/ideas.html,https://www.haskell.org/irc,2018
Homebrew,"ruby, git, macos, rspec, bash",1,https://github.com/Homebrew/Outreachy-and-Google-Summer-of-Code,https://github.com/Homebrew/brew#community,2018
INCF,"python, c/c++, javascript, cuda, xml",16,https://www.incf.org/activities/training/gsoc-2018-project-ideas,mailto:gsoc@incf.org,2018
Inclusive Design Institute,"javascript, html, css, node.js, php",5,https://wiki.fluidproject.org/display/fluid/Google+Summer+of+Code+2018+with+the+Fluid+Project,https://wiki.fluidproject.org/display/fluid/IRC+Channel,2018
Inkscape,"svg, css, c++11,  python, gtk+",0,http://wiki.inkscape.org/wiki/index.php/Google_Summer_of_Code#Suggested_Project_Ideas,https://inkscape.org/en/community/discussion/,2018
Inria Foundation,"c/c++, qt, webassembly, asm, communication protocol",2,https://www.sofa-framework.org/community/google-summer-of-code/,https://www.sofa-framework.org/community/get-involved/,2018
Institute for Artificial Intelligence,"c++, python, ros, unreal engine, lisp",6,http://ai.uni-bremen.de/teaching/gsoc2018,https://gitter.im/iai_gsoc18/,2018
Intel Media And Audio For Linux,"video, codecs, hardware acceleration, va-api, c",1,https://01.org/linuxmedia/gsoc-2018-ideas,https://01.org/linuxmedia/blogs/seanvk/2017/vaapi-media-consolidation,2018
InterMine,"postgresql,  java,  javascript, python, clojure",6,http://intermine.org/gsoc/project-ideas/2018/,https://discord.gg/h847Cex,2018
Internet Archive,"pthon, javascript",5,https://docs.google.com/document/d/1qrqVucyFD_x_vA0wyyMYedMn3HHRPBKgCZ4d6Vr7mRQ/edit?usp=sharing,mailto:mark@archive.org,2018
Internet Systems Consortium,"dhcp, c/c++, mysql, cassandra, rest",2,http://kea.isc.org/wiki/KeaIdeas,https://lists.isc.org/mailman/listinfo/kea-dev,2018
JBoss Community," java, android, ios, opentracing, apache kafka",3,https://developer.jboss.org/wiki/GSoC2018Ideas,https://developer.jboss.org/wiki/JBossGSoCContactInformation,2018
JdeRobot - Universidad Rey Juan Carlos,"ros, python, c++, gazebo, opencv",5,http://jderobot.org/GSoC-2018,http://jderobot.org/Collaborate#Mailing_List,2018
Jenkins project," java, groovy,  javascript",2,https://jenkins.io/projects/gsoc/gsoc2018-project-ideas/,https://jenkins.io/content/chat,2018
JGraphT,java,2,https://github.com/jgrapht/jgrapht/wiki/Google-Summer-Of-Code-2018,https://groups.google.com/forum/#!forum/jgrapht-gsoc,2018
Jitsi,"java, javascript, webrtc, react, react native",3,https://jitsi.org/gsoc/,https://jitsi.org/mailing-lists/,2018
Joomla!,"php,  javascript, mysql, html5/css3, cms",7,https://docs.joomla.org/GSOC_2018_Project_Ideas,http://irc.lc/freenode/joomla/,2018
JSK Robotics Laboratory / The University of Tokyo,ros,2,http://www.jsk.imi.i.u-tokyo.ac.jp/gsoc/2018,https://gitter.im/euslisp/jskeus,2018
KDE Community,"qt, c/c++, qml",17,https://community.kde.org/GSoC/2018/Ideas,https://userbase.kde.org/IRC_Channels,2018
Kiwix,"android, java, c++, python, qt",2,http://wiki.kiwix.org/wiki/GSoC,http://webchat.freenode.net/?channels=#kiwix,2018
LabLua,"lua, céu",5,http://www.lua.inf.puc-rio.br/gsoc/ideas2018.html,http://groups.google.com/group/labluagsoc,2018
languagetool.org,"java, javascript, machine learning, ai, tensorflow",2,http://wiki.languagetool.org/missing-features,https://forum.languagetool.org,2018
LEAP Encryption Access Project,"python, twisted, javascript, openvpn, gnupg",1,https://leap.se/en/docs/get-involved/project-ideas,https://leap.se/en/docs/get-involved/communication,2018
LibreHealth,"java, php,  javascript, mysql, webcomponents",9,https://forums.librehealth.io/ideas,https://chat.librehealth.io,2018
LibreOffice,"c++, java, python",7,https://wiki.documentfoundation.org/Development/GSoC/Ideas,https://wiki.documentfoundation.org/Website/IRC,2018
libvirt,"hypervisor, kvm, xen, lxc",2,http://wiki.libvirt.org/page/Google_Summer_of_Code_Ideas,http://libvirt.org/contact.html#irc,2018
LLVM Compiler Infrastructure,llvm,8,http://llvm.org/OpenProjects.html#gsoc18,http://llvm.org/docs/#irc,2018
LuaRocks,"lua, linux, windows, unix, c",2,http://luarocks.github.io/luarocks/gsoc/ideas2018.html,http://gitter.im/luarocks,2018
MariaDB Foundation,"mariadb, mysql, c, c++, java",1,https://mariadb.com/kb/en/library/google-summer-of-code-2018/,https://mariadb.com/kb/en/meta/irc/,2018
Matrix.org,"golang, ios,  android,  python, react",2,https://github.com/matrix-org/GSoC/blob/master/IDEAS.md,https://matrix.to/#/#matrix:matrix.org,2018
MetaBrainz Foundation Inc.,"python, perl, javascript, postgresql, react",5,https://wiki.musicbrainz.org/Development/Summer_of_Code/2018,https://metabrainz.org/contact,2018
Metasploit,"ruby, postgresql, python, c, assembly",5,https://github.com/rapid7/metasploit-framework/wiki/GSoC-2018-Project-Ideas,https://metasploit.com/help#contact,2018
Mixxx DJ Software,"qt, audio, music, real-time, c++",2,https://www.mixxx.org/wiki/doku.php/gsoc2018ideas,https://mixxx.zulipchat.com,2018
mlpack,c++,6,https://github.com/mlpack/mlpack/wiki/SummerOfCodeIdeas,http://www.mlpack.org/involved.html,2018
Mobile Robot Programming Toolkit (MRPT),"c/c++, cmake, python, webs",1,https://github.com/MRPT/mrpt/wiki/Ideas-page-for-MRPT-Google-Summer-of-Code-2018,https://gitter.im/MRPT/mrpt,2018
Moodle,"php,  javascript, ionic, sql, angular",0,https://docs.moodle.org/dev/Projects_for_new_developers,https://telegram.me/moodledev,2018
MovingBlocks," java, opengl, json, blender, github",9,https://github.com/MovingBlocks/Terasology/wiki/GSOC,https://github.com/MovingBlocks/Terasology/wiki/Using-IRC,2018
Mozilla,"javascript, c++, rust, python, css",16,https://wiki.mozilla.org/Community:SummerOfCode18,https://wiki.mozilla.org/IRC,2018
MuseScore,"qt, c++11, cpp, midi",3,https://musescore.org/en/handbook/ideas-2018,https://kiwiirc.com/client/irc.freenode.net/?nick=gsoc|?#musescore,2018
National Resource for Network Biology (NRNB),"java, javascript, python, html, c/c++",10,https://github.com/nrnb/GoogleSummerOfCode/issues,https://groups.google.com/forum/#!forum/cytoscape-helpdesk,2018
Neovim,"lua, c, vim, javascript,  python",2,https://github.com/neovim/neovim/wiki/GSoC-2018-Ideas,https://gitter.im/neovim/neovim,2018
Netfilter project,"linux kernel, c",3,http://people.netfilter.org/pablo/nf-ideas-2018.txt,http://irc.netsplit.de/channels/details.php?room=%23Netfilter&net=freenode,2018
NumFOCUS,"python, julia, r, javascript, c++",40,https://github.com/numfocus/gsoc/blob/master/2018/ideas-list.md,https://groups.google.com/a/numfocus.org/forum/#!forum/gsoc,2018
omegaUp.com,"php, mysql,  python",1,https://github.com/omegaup/omegaup/wiki/Google-Summer-of-Code-2018-Ideas-List,https://github.com/omegaup/omegaup/wiki/Google-Summer-of-Code-2018-Ideas-List#our-mailing-list-and-slack-channel,2018
Open Bioinformatics Foundation,"python,  javascript, d, php, c/c++",5,http://obf.github.io/GSoC/ideas/,http://obf.github.io/GSoC/contact/,2018
Open Chemistry,"python, c++, javascript,  java, opengl",7,http://wiki.openchemistry.org/GSoC_Ideas_2018,https://public.kitware.com/mailman/listinfo/openchemistry-developers,2018
Open Data Kit," android,  java",2,https://forum.opendatakit.org/t/welcome-gsoc-and-outreachy-applicants/11817,http://slack.opendatakit.org,2018
Open Food Facts,"perl, mongodb, ios, android, machine learning",2,https://en.wiki.openfoodfacts.org/Student_projects/GSOC/Proposals,https://slack-ssl-openfoodfacts.herokuapp.com/,2018
Open Roberta Lab,"java, javascript",2,https://github.com/OpenRoberta/robertalab/wiki/Google-Summer-of-Code-2018,https://github.com/OpenRoberta/robertalab/wiki/Community,2018
Open Source Robotics Foundation,"c/c++, python, javascript, ros, gazebo",4,https://github.com/osrf/osrf_wiki/wiki/GSoC,mailto:gsoc@osrfoundation.org,2018
Open States,"python, django, react, graphql, postgresql",0,https://github.com/openstates/meta/wiki/GSoC-2018-Overview#ideas,https://openstates-slack.herokuapp.com/,2018
OpenAstronomy,"python, julia, c++, numba",8,http://openastronomy.org/gsoc/gsoc2018/,http://openastronomy.org/,2018
OpenCensus,"python, java, ruby, node, go",1,http://opencensus.io,https://gitter.im/census-instrumentation/GSoC,2018
OpenMRS," java, spring, javascript, rest, mysql",10,https://om.rs/soc2018,http://irc.openmrs.org,2018
OpenSIPS,"c,  python, mysql, scripting",0,http://www.opensips.org/Development/IdeasList,http://www.opensips.org/About/Contact,2018
OpenStreetMap,"postgis,  java,  ruby,  javascript, c/c++",5,http://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2018/Project_Ideas,http://wiki.openstreetmap.org/wiki/IRC,2018
openSUSE,"ruby on rail, perl,  ruby, html/javascript, c/c++",2,http://101.opensuse.org/gsoc/,https://en.opensuse.org/openSUSE:IRC_list,2018
OpenWISP,"python, django, javascript, openwrt, linux",2,http://openwisp.org/gsoc/ideas-2018.html,https://gitter.im/openwisp/general,2018
OpnTec,"python, javascript, emberjs, cloud, android",2,http://blog.opntec.org/ideas,https://gitter.im/fossasia/open-event,2018
Oppia Foundation,"angularjs, python,  javascript, appengine,  css",7,https://github.com/oppia/oppia/wiki/Google-Summer-of-Code-2018#oppias-project-ideas,https://github.com/oppia/oppia/wiki/Google-Summer-of-Code-2018#communication,2018
OSGeo,"c/c++, standards, python, sql, database",10,http://wiki.osgeo.org/wiki/Google_Summer_of_Code_2018_Ideas,https://wiki.osgeo.org/wiki/Google_Summer_of_Code_Recommendations_for_Students#How_to_get_in_contact_via_IRC,2018
OW2,"java, perl, middleware, bpm, wiki",0,https://tc.ow2.org/bin/view/wiki/GSoC+2018+Ideas+List,https://mail.ow2.org/wws/info/authzforce-team,2018
OWASP Foundation,"java, net, ruby, javascript, python",8,https://www.owasp.org/index.php/GSOC2018_Ideas,https://www.owasp.org/index.php/GSoC#Getting_in_touch,2018
P2PSP.org,"python,  javascript, webrtc, sockets, c/c++",1,http://www.p2psp.org/en/news/78-gsoc-2018-ideas-page,https://gitter.im/orgs/P2PSP/rooms,2018
PEcAn Project," javascript, postgresql,  php, c, r",1,http://pecanproject.github.io/gsoc_ideas.html,http://pecanproject.github.io/contact.html,2018
Performance Co-Pilot,"python, redis, c, linux, javascript",5,http://pcp.io/gsoc/2018/ideas.html,http://pcp.io/community.html,2018
phpBB Forum Software,"mysql,  javascript, html5/css3, php, symfony",2,https://www.phpbb.com/development/gsoc/ideas/,https://www.phpbb.com/support/irc,2018
phpMyAdmin,"php, mysql, cakephp, jquery, javascript",4,https://github.com/phpmyadmin/phpmyadmin/wiki/GSoC_2018_ideas_list,https://lists.phpmyadmin.net/mailman/listinfo/developers,2018
Plone,"python,  javascript, html, css, reactjs",4,https://plone.org/community/gsoc/2018/ideas,https://community.plone.org,2018
PMD,"java, xml, javacc, antlr, xpath",1,https://github.com/pmd/pmd/wiki/Project-Ideas-%5BMature%5D,https://gitter.im/pmd/pmd,2018
Pocket Science Lab,"android, java, firmware, c, cad",2,https://github.com/fossasia/pslab.io/wiki/Ideas,https://gitter.im/fossasia/pslab,2018
Polly Labs,"c/c++, llvm, polly, isl, ppcg",3,http://pollylabs.org/gsoc2018.html,https://groups.google.com/forum/#!forum/polly-dev,2018
PostgreSQL,"postgresql, sql, rdbms, ordbms, c",3,https://wiki.postgresql.org/wiki/GSoC_2018,https://www.postgresql.org/community/irc/,2018
Probot,"javascript, node, github",2,https://github.com/probot/ideas/blob/master/GOOGLE_SUMMER_OF_CODE.md,https://probot.github.io/community/,2018
Public Lab,"ruby on rails, javascript, node.js",9,http://publiclab.org/gsoc-ideas,http://publiclab.org/chat,2018
Purr Data,"javascript, html5/css3, node.js, c/c++",1,https://git.purrdata.net/jwilkes/summer-of-code-ideas-list/blob/master/README.md,http://disis.music.vt.edu/listinfo/l2ork-dev,2018
Python HYDRA,"python, rdf, flask, hydra, json/json-ld",2,http://www.hydra-gsoc.appspot.com/,https://gitter.im/HTTP-APIs/Lobby,2018
Python Software Foundation,python,14,http://python-gsoc.org/,http://python-gsoc.org/#contact,2018
QEMU,"c, kvm",4,https://wiki.qemu.org/Google_Summer_of_Code_2018,https://www.qemu.org/contribute/,2018
Quill.org,"ruby, rails, react, javascript, postgresql",1,https://trello.com/b/sDoN2wL4/google-summer-of-code-2018-ideas,https://community.quill.org/join-slack/,2018
R project for statistical computing,"r-project, c, c++, javascript, fortran",24,https://github.com/rstats-gsoc/gsoc2018/wiki/table-of-proposed-coding-projects,https://github.com/rstats-gsoc/gsoc2018/wiki,2018
radare,"c, cpp, rust, qt",5,http://radare.org/gsoc/2018/ideas.html,http://radare.org/r/me.html,2018
ReactOS,"c, c++",1,https://www.reactos.org/wiki/Google_Summer_of_Code_2018_Ideas,https://reactos.org/irc,2018
Read the Docs,"python, sphinx, django, javascript, elasticsearch",1,http://docs.readthedocs.io/en/latest/gsoc.html,http://docs.readthedocs.io/en/latest/gsoc.html#want-to-get-involved,2018
Red Hen Lab,"python, scikit-learn, tensorflow, singularity, syntaxnet",10,https://sites.google.com/site/distributedlittleredhen/summer-of-code/google-summer-of-code-2018-ideas-page,https://red-hen-gsoc.slack.com,2018
RoboComp,"c/c++, python, cmake, openscenegraph, ice - zeroc",8,https://robocomp.github.io/web/blog/gsoc/ideas2018,https://gitter.im/robocomp/home,2018
Rocket.Chat," javascript, ios, android, node, meteor.js",7,https://rocket.chat/docs/contributing/google-summer-of-code-2018,https://open.rocket.chat,2018
Rspamd,"c, machine learning, javascript, lua",0,https://rspamd.com/ideas.html,https://rspamd.com/support.html,2018
RTEMS Project,"c, python, posix, bsd unix",4,https://devel.rtems.org/wiki/Developer/OpenProjects,https://devel.rtems.org/wiki/Developer/IRC,2018
Ruby,ruby,5,https://github.com/rubygsoc/rubygsoc/wiki/Ideas-List,http://slack.bundler.io,2018
Ruby on Rails,"ruby, ruby on rails, html",2,https://github.com/railsgsoc/ideas/wiki/2018-Ideas,https://groups.google.com/forum/#!forum/rubyonrails-gsoc,2018
Ruby Science Foundation,"ruby, c, c++, cuda",4,https://github.com/SciRuby/sciruby/wiki/Google-Summer-of-Code-2018-Ideas,http://sciruby.com/,2018
Sage Mathematical Software System,"python 3, python, cython, c/c++",5,https://wiki.sagemath.org/GSoC/2018,https://groups.google.com/forum/#!forum/sage-gsoc,2018
Scala,"scala, jvm, llvm",1,https://scala-lang.org/gsoc/2018/,https://gitter.im/scala/scala,2018
Scilab,"c, c++, java, scilab",4,https://wiki.scilab.org/GSoC_project_proposal,https://www.scilab.org/resources/user_community/irc,2018
ScummVM,"c++, opengl, sdl, assembly",3,http://wiki.scummvm.org/index.php/Summer_of_Code/GSoC_Ideas_2018,http://wiki.scummvm.org/index.php/Summer_of_Code/GSoC_Contact,2018
Seastar,"cpp, framework, dpdk, tcp, linux",1,https://github.com/scylladb/seastar/wiki/Google-Summer-of-Code-2018,https://scylladb-users.slack.com,2018
Software and Computational Systems Lab at LMU Munich,"java, python,  javascript",1,https://www.sosy-lab.org/gsoc/gsoc2018.php,mailto:info@sosy-lab.org,2018
Space @ Virginia Tech,"python, javascript, d3, mysql, mongodb",2,http://space.vt.edu/space_gsoc_2018.html,http://space.vt.edu/space_gsoc_2018.html,2018
SPDX,"rdf,  python,  java, json",4,http://wiki.spdx.org/view/GSOC/GSOC_ProjectIdeas,https://lists.spdx.org/mailman/listinfo/spdx-tech,2018
Stemformatics,"python, javascript, postgresql",2,https://docs.google.com/document/d/1zcuCTUMqbR7QFrUaGmxYGD_iKt8XCK6a35RtN6GGUC0/edit?usp=sharing,https://gitter.im/stemformatics/Lobby,2018
STE||AR Group,"c++, cuda, opencv, python, boost",4,https://github.com/STEllAR-GROUP/hpx/wiki/GSoC-2018-Project-Ideas,https://github.com/STEllAR-GROUP/hpx/wiki/HPX-Resource-Guide,2018
Stony Brook University Biomedical Informatics,"python, matlab, c++, javascript",2,https://goo.gl/gxRnz5,https://groups.google.com/d/forum/stonybrookbmigsoc,2018
strace,"linux, c, git, shell script, make",2,https://strace.io/wiki/GoogleSummerOfCode2018,https://strace.io,2018
Streetmix,"javascript, react, redux, postgresql, mongodb",1,https://github.com/streetmix/streetmix/projects,https://streetmix-slack.herokuapp.com/,2018
Submitty,"python, c++, databases, web/html/css, php/javascript/ajax",2,http://submitty.org/developer/project_ideas,https://join.slack.com/t/submitty/shared_invite/enQtMzE1NzgyMzUzNzI5LWNkNjUzYmZjOWJkNzdlM2QzNTM3MGYwNmQwMzQ3NjAwODUwYjI4MTRlZDNjZTFlMTk4ZjUzN2MxNzRjNDIwZTU,2018
Sugar Labs,"python, javascript, gtk+",11,https://wiki.sugarlabs.org/go/Summer_of_Code,http://chat.sugarlabs.org,2018
Sustainable Computing Research Group (SCoRe),"android, java, go, node, pyth",18,http://www.scorelab.org/gsoc-2018/,https://gitter.im/scorelab,2018
